url,title,region
https://mmashaaa.github.io/website_3/articles/charyn-canyon.html,Charyn Canyon,Kazakhstan & Kyrgyzstan
https://mmashaaa.github.io/website_3/articles/cuisine-of-steppes-and-nomads.html,How the Cuisine of a Land of Steppes and Nomads Works,Mongolia
https://mmashaaa.github.io/website_3/articles/diversity-of-mongolias-horizons.html,The Diversity of Mongolia’s Horizons,Mongolia
https://mmashaaa.github.io/website_3/articles/every-volcano-in-kamchatka.html,Every Volcano in Kamchatka Tells a Different Story,Kamchatka
https://mmashaaa.github.io/website_3/articles/kamchatka-in-constant-motion.html,Kamchatka in Constant Motion,Kamchatka
https://mmashaaa.github.io/website_3/articles/kamchatka-land-of-different-experiences.html,Kamchatka: A Land of Different Experiences,Kamchatka
https://mmashaaa.github.io/website_3/articles/kamchatka-ocean-and-mountains.html,Kamchatka Between the Ocean and the Mountains,Kamchatka
https://mmashaaa.github.io/website_3/articles/kamchatka-salmon-rivers-bear-shores.html,Kamchatka: From Salmon Rivers to Bear Shores,Kamchatka
https://mmashaaa.github.io/website_3/articles/kamchatkas-underground-heat.html,Kamchatka’s Underground Heat,Kamchatka
https://mmashaaa.github.io/website_3/articles/kyrgyz-range.html,"Kyrgyz Range: One Mountain System, Dozens of Different Landscapes",Kazakhstan & Kyrgyzstan
https://mmashaaa.github.io/website_3/articles/lake-issyk-kul.html,Lake Issyk-Kul and Its Surroundings,Kazakhstan & Kyrgyzstan
https://mmashaaa.github.io/website_3/articles/mongolia-reflected-in-water.html,Mongolia Reflected in Water,Mongolia
https://mmashaaa.github.io/website_3/articles/mongolian-cuisine-where-to-start.html,Mongolia: Where to Start Exploring the Local Cuisine,Mongolia
https://mmashaaa.github.io/website_3/articles/night-sky-new-zealand.html,The Country Where They Give the Night Back to Nature,New Zealand
https://mmashaaa.github.io/website_3/articles/nomadic-way-of-life.html,Why Has the Nomadic Way of Life Survived in Mongolia?,Mongolia
https://mmashaaa.github.io/website_3/articles/orkhon-valley-waterfalls-rivers-volcanic-landscapes.html,"Orkhon Valley: Waterfalls, Rivers, and Volcanic Landscapes",Mongolia
https://mmashaaa.github.io/website_3/articles/roads-of-mongolia.html,Roads of Mongolia: More Than Just a Way to Get Somewhere,Mongolia
https://mmashaaa.github.io/website_3/articles/rotorua-to-tongariro.html,Through a Living Landscape: A Four-Day Journey from Rotorua to Tongariro,New Zealand
https://mmashaaa.github.io/website_3/articles/seven-roads-in-one-week.html,Seven Roads in One Week,New Zealand
https://mmashaaa.github.io/website_3/articles/seven-roads-south-island.html,Seven Roads Worth Traveling to the South Island For,New Zealand
https://mmashaaa.github.io/website_3/articles/several-days-inside-that-postcard.html,Several Days Inside That Postcard,New Zealand
https://mmashaaa.github.io/website_3/articles/the-forest-you-need-to-hear.html,The Forest You Need to Hear,New Zealand
https://mmashaaa.github.io/website_3/articles/the-gobi-desert.html,The Gobi Desert: What to See in Mongolia’s Most Unusual Region,Mongolia
https://mmashaaa.github.io/website_3/articles/the-road-through-the-orkhon-valley.html,The Road Through the Orkhon Valley,Mongolia
https://mmashaaa.github.io/website_3/articles/volcanic-mongolia.html,Volcanic Mongolia,Mongolia
https://mmashaaa.github.io/website_3/articles/what-shapes-traditional-mongolian-cuisine.html,What Shapes Traditional Mongolian Cuisine?,Mongolia
https://mmashaaa.github.io/website_3/articles/what-surprises-people-most-about-mongolia.html,What Surprises People Most About Mongolia,Mongolia
https://mmashaaa.github.io/website_3/articles/what-surprises-travelers-about-mongolian-cuisine.html,What Surprises Travelers About Mongolian Cuisine,Mongolia
https://mmashaaa.github.io/website_3/articles/where-is-that-postcard-new-zealand.html,Where Is That Postcard New Zealand?,New Zealand
https://mmashaaa.github.io/website_3/articles/where-the-earth-doesnt-pretend-to-be-still.html,Where the Earth Doesn’t Pretend to Be Still,Kamchatka
